CH4/ppm,N2O/ppm,NO/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,time
2000.000,0.000,0.000,0.000,0.000,-3.330e-05,-4.673e-04,4500.000000
2250.000,0.000,0.000,0.000,0.000,-3.708e-03,-6.309e-04,6300.000000
2500.000,0.000,0.000,0.000,0.000,-1.258e-02,-1.372e-03,8100.000000
2750.000,0.000,0.000,0.000,0.000,-1.333e-02,-1.505e-03,9900.000000
3000.000,0.000,0.000,0.000,0.000,-1.393e-02,-1.594e-03,11700.000000
3250.000,0.000,0.000,0.000,0.000,-1.445e-02,-1.674e-03,13500.000000
3500.000,0.000,0.000,0.000,0.000,-1.495e-02,-1.752e-03,15300.000000
4000.000,0.000,0.000,0.000,0.000,-1.584e-02,-1.902e-03,17100.000000
4250.000,0.000,0.000,0.000,0.000,-1.624e-02,-1.968e-03,18900.000000
4500.000,0.000,0.000,0.000,0.000,-1.662e-02,-2.032e-03,20700.000000
4750.000,0.000,0.000,0.000,0.000,-1.700e-02,-2.094e-03,22500.000000
5000.000,0.000,0.000,0.000,0.000,-1.735e-02,-2.153e-03,24300.000000
5250.000,0.000,0.000,0.000,0.000,-1.768e-02,-2.210e-03,26100.000000
5500.000,0.000,0.000,0.000,0.000,-1.801e-02,-2.271e-03,27900.000000
5750.000,0.000,0.000,0.000,0.000,-1.834e-02,-2.328e-03,29700.000000
6000.000,0.000,0.000,0.000,0.000,-1.863e-02,-2.382e-03,31500.000000
0.000,0.000,0.000,0.000,2000.000,-1.263e-02,-5.051e-03,36000.000000
0.000,0.000,0.000,0.000,2250.000,-1.360e-02,-5.494e-03,37800.000000
0.000,0.000,0.000,0.000,2500.000,-1.426e-02,-5.958e-03,39600.000000
0.000,0.000,0.000,0.000,2750.000,-1.481e-02,-6.392e-03,41400.000000
0.000,0.000,0.000,0.000,3000.000,-1.535e-02,-6.826e-03,43200.000000
0.000,0.000,0.000,0.000,3250.000,-1.571e-02,-7.178e-03,45000.000000
0.000,0.000,0.000,0.000,3500.000,-1.620e-02,-7.569e-03,46800.000000
0.000,0.000,0.000,0.000,3750.000,-1.668e-02,-7.957e-03,48600.000000
0.000,0.000,0.000,0.000,4000.000,-1.708e-02,-8.311e-03,50400.000000
0.000,0.000,0.000,0.000,4250.000,-1.753e-02,-8.653e-03,52200.000000
0.000,0.000,0.000,0.000,4500.000,-1.790e-02,-8.973e-03,54000.000000
0.000,0.000,0.000,0.000,4750.000,-1.831e-02,-9.253e-03,55800.000000
0.000,0.000,0.000,0.000,5000.000,-1.866e-02,-9.512e-03,57600.000000
0.000,0.000,0.000,0.000,5250.000,-1.894e-02,-9.730e-03,59400.000000
0.000,0.000,0.000,0.000,5500.000,-1.924e-02,-9.955e-03,61200.000000
0.000,0.000,0.000,0.000,5750.000,-1.953e-02,-1.016e-02,63000.000000
0.000,0.000,0.000,0.000,6000.000,-1.982e-02,-1.034e-02,64800.000000
