CH4/ppm,N2O/ppm,NO/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,time
0.000,75.000,0.000,0.000,0.000,-2.886e-04,-1.785e-04,7208.280000
0.000,85.000,0.000,0.000,0.000,-2.778e-04,-1.601e-04,9012.420000
0.000,95.000,0.000,0.000,0.000,-2.670e-04,-1.462e-04,10816.560000
0.000,105.000,0.000,0.000,0.000,-2.633e-04,-1.308e-04,12620.700000
0.000,115.000,0.000,0.000,0.000,-2.611e-04,-1.173e-04,14424.840000
0.000,125.000,0.000,0.000,0.000,-2.501e-04,-1.034e-04,16228.980000
0.000,135.000,0.000,0.000,0.000,-2.439e-04,-9.928e-05,18033.120000
0.000,145.000,0.000,0.000,0.000,-2.397e-04,-8.890e-05,19837.260000
0.000,155.000,0.000,0.000,0.000,-2.544e-04,-7.863e-05,21641.400000
0.000,165.000,0.000,0.000,0.000,-2.518e-04,-7.473e-05,23445.540000
0.000,175.000,0.000,0.000,0.000,-2.446e-04,-6.537e-05,25249.680000
0.000,195.000,0.000,0.000,0.000,-2.358e-04,-5.713e-05,27053.820000
0.000,205.000,0.000,0.000,0.000,-2.319e-04,-5.118e-05,28857.960000
0.000,215.000,0.000,0.000,0.000,-2.267e-04,-4.378e-05,30662.100000
0.000,225.000,0.000,0.000,0.000,-2.195e-04,-3.811e-05,32466.240000
0.000,235.000,0.000,0.000,0.000,-2.200e-04,-3.464e-05,34270.380000
0.000,245.000,0.000,0.000,0.000,-2.120e-04,-3.016e-05,36074.520000
0.000,255.000,0.000,0.000,0.000,-2.115e-04,-2.660e-05,37878.660000
1000.000,0.000,0.000,0.000,0.000,-8.408e-03,-7.976e-04,39682.800000
1000.000,75.000,0.000,0.000,0.000,-8.450e-03,-7.579e-04,41486.940000
1000.000,85.000,0.000,0.000,0.000,-8.453e-03,-7.455e-04,43291.080000
1000.000,95.000,0.000,0.000,0.000,-8.449e-03,-7.391e-04,45095.220000
1000.000,105.000,0.000,0.000,0.000,-8.433e-03,-7.310e-04,46899.360000
1000.000,115.000,0.000,0.000,0.000,-8.426e-03,-7.228e-04,48703.500000
1000.000,125.000,0.000,0.000,0.000,-8.388e-03,-7.117e-04,50507.640000
1000.000,135.000,0.000,0.000,0.000,-8.376e-03,-7.038e-04,52311.780000
1000.000,145.000,0.000,0.000,0.000,-8.344e-03,-6.974e-04,54115.920000
1000.000,155.000,0.000,0.000,0.000,-8.316e-03,-6.927e-04,55920.060000
1000.000,165.000,0.000,0.000,0.000,-8.306e-03,-6.863e-04,57724.200000
1000.000,175.000,0.000,0.000,0.000,-8.275e-03,-6.840e-04,59528.340000
