CH4/ppm,N2O/ppm,NO/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,time
0.000,0.000,0.000,75.000,0.000,-2.944e-03,-5.981e-03,7208.280000
0.000,0.000,0.000,85.000,0.000,-3.300e-03,-6.597e-03,9012.420000
0.000,0.000,0.000,95.000,0.000,-3.629e-03,-6.904e-03,10816.560000
0.000,0.000,0.000,105.000,0.000,-3.940e-03,-7.088e-03,12620.700000
0.000,0.000,0.000,115.000,0.000,-4.263e-03,-7.222e-03,14424.840000
0.000,0.000,0.000,125.000,0.000,-4.558e-03,-7.290e-03,16228.980000
0.000,0.000,0.000,135.000,0.000,-4.885e-03,-7.364e-03,18033.120000
0.000,0.000,0.000,145.000,0.000,-5.145e-03,-7.371e-03,19837.260000
0.000,0.000,0.000,155.000,0.000,-5.448e-03,-7.402e-03,21641.400000
0.000,0.000,0.000,165.000,0.000,-5.725e-03,-7.412e-03,23445.540000
0.000,0.000,0.000,175.000,0.000,-6.000e-03,-7.414e-03,25249.680000
0.000,0.000,0.000,195.000,0.000,-6.512e-03,-7.351e-03,27053.820000
0.000,0.000,0.000,205.000,0.000,-6.786e-03,-7.341e-03,28857.960000
0.000,0.000,0.000,215.000,0.000,-7.047e-03,-7.336e-03,30662.100000
0.000,0.000,0.000,225.000,0.000,-7.287e-03,-7.341e-03,32466.240000
0.000,0.000,0.000,235.000,0.000,-7.503e-03,-7.318e-03,34270.380000
0.000,0.000,0.000,245.000,0.000,-7.756e-03,-7.323e-03,36074.520000
0.000,0.000,0.000,255.000,0.000,-7.945e-03,-7.303e-03,37878.660000
1000.000,0.000,0.000,0.000,0.000,-9.148e-03,-1.130e-03,39682.800000
1000.000,0.000,0.000,75.000,0.000,-1.470e-02,-6.221e-03,41486.940000
1000.000,0.000,0.000,85.000,0.000,-1.495e-02,-6.531e-03,43291.080000
1000.000,0.000,0.000,95.000,0.000,-1.516e-02,-6.746e-03,45095.220000
1000.000,0.000,0.000,105.000,0.000,-1.535e-02,-6.896e-03,46899.360000
1000.000,0.000,0.000,115.000,0.000,-1.547e-02,-6.977e-03,48703.500000
1000.000,0.000,0.000,125.000,0.000,-1.562e-02,-7.037e-03,50507.640000
1000.000,0.000,0.000,135.000,0.000,-1.576e-02,-7.084e-03,52311.780000
1000.000,0.000,0.000,145.000,0.000,-1.589e-02,-7.119e-03,54115.920000
1000.000,0.000,0.000,155.000,0.000,-1.601e-02,-7.132e-03,55920.060000
1000.000,0.000,0.000,165.000,0.000,-1.612e-02,-7.127e-03,57724.200000
1000.000,0.000,0.000,175.000,0.000,-1.622e-02,-7.116e-03,59528.340000
1000.000,0.000,0.000,195.000,0.000,-1.641e-02,-7.071e-03,61332.480000
1000.000,0.000,0.000,205.000,0.000,-1.649e-02,-7.032e-03,63136.620000
1000.000,0.000,0.000,215.000,0.000,-1.657e-02,-7.012e-03,64940.760000
1000.000,0.000,0.000,225.000,0.000,-1.665e-02,-6.987e-03,66744.900000
1000.000,0.000,0.000,235.000,0.000,-1.673e-02,-6.972e-03,68549.040000
1000.000,0.000,0.000,245.000,0.000,-1.677e-02,-6.952e-03,70353.180000
1000.000,0.000,0.000,255.000,0.000,-1.685e-02,-6.944e-03,72157.320000
1500.000,0.000,0.000,0.000,0.000,-1.091e-02,-1.160e-03,73961.460000
1500.000,0.000,0.000,75.000,0.000,-1.760e-02,-6.052e-03,75765.600000
1500.000,0.000,0.000,85.000,0.000,-1.795e-02,-6.368e-03,77569.740000
1500.000,0.000,0.000,95.000,0.000,-1.823e-02,-6.581e-03,79373.880000
1500.000,0.000,0.000,105.000,0.000,-1.846e-02,-6.732e-03,81178.020000
1500.000,0.000,0.000,115.000,0.000,-1.865e-02,-6.831e-03,82982.160000
1500.000,0.000,0.000,125.000,0.000,-1.882e-02,-6.899e-03,84786.300000
1500.000,0.000,0.000,135.000,0.000,-1.897e-02,-6.950e-03,86590.440000
1500.000,0.000,0.000,145.000,0.000,-1.909e-02,-6.974e-03,88394.580000
1500.000,0.000,0.000,155.000,0.000,-1.920e-02,-6.977e-03,90198.720000
1500.000,0.000,0.000,165.000,0.000,-1.929e-02,-6.971e-03,92002.860000
1500.000,0.000,0.000,175.000,0.000,-1.942e-02,-6.988e-03,93807.000000
1500.000,0.000,0.000,195.000,0.000,-1.958e-02,-6.977e-03,95611.140000
1500.000,0.000,0.000,205.000,0.000,-1.966e-02,-6.934e-03,97415.280000
1500.000,0.000,0.000,215.000,0.000,-1.969e-02,-6.888e-03,99219.420000
1500.000,0.000,0.000,225.000,0.000,-1.976e-02,-6.866e-03,101023.560000
1500.000,0.000,0.000,235.000,0.000,-1.981e-02,-6.846e-03,102827.700000
1500.000,0.000,0.000,245.000,0.000,-1.986e-02,-6.806e-03,104631.840000
1500.000,0.000,0.000,255.000,0.000,-1.989e-02,-6.793e-03,106435.980000
2000.000,0.000,0.000,0.000,0.000,-1.247e-02,-1.238e-03,108240.120000
2000.000,0.000,0.000,75.000,0.000,-1.973e-02,-5.931e-03,110044.260000
2000.000,0.000,0.000,85.000,0.000,-2.014e-02,-6.213e-03,111848.400000
2000.000,0.000,0.000,95.000,0.000,-2.050e-02,-6.420e-03,113652.540000
2000.000,0.000,0.000,105.000,0.000,-2.078e-02,-6.567e-03,115456.680000
2000.000,0.000,0.000,115.000,0.000,-2.103e-02,-6.667e-03,117260.820000
2000.000,0.000,0.000,125.000,0.000,-2.124e-02,-6.736e-03,119064.960000
2000.000,0.000,0.000,135.000,0.000,-2.140e-02,-6.776e-03,120869.100000
2000.000,0.000,0.000,145.000,0.000,-2.156e-02,-6.810e-03,122673.240000
2000.000,0.000,0.000,155.000,0.000,-2.169e-02,-6.830e-03,124477.380000
2000.000,0.000,0.000,165.000,0.000,-2.176e-02,-6.822e-03,126281.520000
2000.000,0.000,0.000,175.000,0.000,-2.187e-02,-6.817e-03,128085.660000
2000.000,0.000,0.000,195.000,0.000,-2.198e-02,-6.772e-03,129889.800000
2000.000,0.000,0.000,205.000,0.000,-2.206e-02,-6.745e-03,131693.940000
2000.000,0.000,0.000,215.000,0.000,-2.211e-02,-6.721e-03,133498.080000
2000.000,0.000,0.000,225.000,0.000,-2.218e-02,-6.696e-03,135302.220000
2000.000,0.000,0.000,235.000,0.000,-2.213e-02,-6.633e-03,137106.360000
2000.000,0.000,0.000,245.000,0.000,-2.221e-02,-6.611e-03,138910.500000
2000.000,0.000,0.000,255.000,0.000,-2.216e-02,-6.562e-03,140714.640000
2500.000,0.000,0.000,0.000,0.000,-1.366e-02,-1.276e-03,142518.780000
2500.000,0.000,0.000,75.000,0.000,-2.114e-02,-5.763e-03,144322.920000
2500.000,0.000,0.000,85.000,0.000,-2.164e-02,-6.058e-03,146127.060000
2500.000,0.000,0.000,95.000,0.000,-2.205e-02,-6.245e-03,147931.200000
2500.000,0.000,0.000,105.000,0.000,-2.236e-02,-6.375e-03,149735.340000
