NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
50,0,0,50,-9.915e-03,7.555e-03,-1.748e-02,-2.623e-03,-1.694e-03,-9.390e-04,19
50,0,0,75,-3.710e-02,3.597e-03,-4.069e-02,-1.819e-02,4.004e-03,-2.220e-02,39
50,0,0,100,-5.522e-02,2.094e-03,-5.732e-02,-3.054e-02,8.856e-03,-3.940e-02,59
50,0,0,125,-6.898e-02,6.558e-04,-6.965e-02,-4.001e-02,1.235e-02,-5.237e-02,79
50,0,0,150,-7.902e-02,2.083e-04,-7.925e-02,-4.761e-02,1.496e-02,-6.257e-02,99
50,0,0,175,-8.689e-02,-4.676e-06,-8.690e-02,-5.372e-02,1.698e-02,-7.070e-02,119
50,0,0,200,-9.299e-02,5.134e-04,-9.353e-02,-5.869e-02,1.858e-02,-7.727e-02,139
75,0,0,50,1.006e-03,2.469e-02,-2.369e-02,3.323e-03,-5.063e-03,8.382e-03,159
75,0,0,75,-2.221e-02,1.938e-02,-4.155e-02,-9.897e-03,-7.499e-04,-9.153e-03,179
75,0,0,100,-4.219e-02,1.513e-02,-5.739e-02,-2.341e-02,4.774e-03,-2.819e-02,199
75,0,0,125,-5.826e-02,9.877e-03,-6.814e-02,-3.457e-02,9.553e-03,-4.413e-02,220
75,0,0,150,-7.038e-02,7.837e-03,-7.820e-02,-4.344e-02,1.312e-02,-5.657e-02,240
75,0,0,175,-7.981e-02,6.445e-03,-8.626e-02,-5.041e-02,1.572e-02,-6.613e-02,260
75,0,0,200,-8.767e-02,5.534e-03,-9.322e-02,-5.612e-02,1.774e-02,-7.386e-02,280
100,0,0,50,1.626e-02,3.409e-02,-1.782e-02,1.059e-02,-7.837e-03,1.842e-02,300
100,0,0,75,-5.687e-03,2.806e-02,-3.377e-02,-8.669e-04,-5.148e-03,4.276e-03,320
100,0,0,100,-2.608e-02,2.379e-02,-4.989e-02,-1.431e-02,-5.866e-04,-1.372e-02,340
100,0,0,125,-4.470e-02,1.938e-02,-6.410e-02,-2.705e-02,4.896e-03,-3.195e-02,360
100,0,0,150,-5.900e-02,1.622e-02,-7.520e-02,-3.777e-02,9.716e-03,-4.749e-02,380
100,0,0,175,-7.022e-02,1.501e-02,-8.519e-02,-4.627e-02,1.343e-02,-5.970e-02,400
100,0,0,200,-7.869e-02,1.461e-02,-9.333e-02,-5.311e-02,1.621e-02,-6.932e-02,421
125,0,0,50,2.860e-02,4.285e-02,-1.426e-02,1.646e-02,-9.552e-03,2.601e-02,441
125,0,0,75,9.480e-03,3.690e-02,-2.742e-02,6.832e-03,-8.029e-03,1.486e-02,461
125,0,0,100,-1.076e-02,3.143e-02,-4.220e-02,-5.472e-03,-5.023e-03,-4.526e-04,481
125,0,0,125,-2.940e-02,2.694e-02,-5.635e-02,-1.843e-02,-3.799e-04,-1.806e-02,501
125,0,0,150,-4.563e-02,2.291e-02,-6.856e-02,-3.045e-02,4.901e-03,-3.535e-02,521
125,0,0,175,-5.877e-02,2.036e-02,-7.913e-02,-4.071e-02,9.715e-03,-5.042e-02,541
125,0,0,200,-6.977e-02,1.832e-02,-8.813e-02,-4.879e-02,1.348e-02,-6.227e-02,561
150,0,0,50,3.791e-02,4.900e-02,-1.110e-02,2.122e-02,-1.067e-02,3.189e-02,581
150,0,0,75,2.109e-02,4.344e-02,-2.234e-02,1.302e-02,-9.751e-03,2.277e-02,601
150,0,0,100,1.904e-03,3.743e-02,-3.553e-02,2.172e-03,-7.955e-03,1.012e-02,622
150,0,0,125,-1.669e-02,3.256e-02,-4.926e-02,-1.006e-02,-4.704e-03,-5.359e-03,642
150,0,0,150,-3.358e-02,2.857e-02,-6.215e-02,-2.229e-02,-1.164e-04,-2.218e-02,662
150,0,0,175,-4.837e-02,2.507e-02,-7.344e-02,-3.357e-02,4.942e-03,-3.851e-02,682
150,0,0,200,-6.101e-02,2.209e-02,-8.314e-02,-4.307e-02,9.605e-03,-5.267e-02,702
175,0,0,50,4.449e-02,5.320e-02,-8.717e-03,2.495e-02,-1.145e-02,3.640e-02,722
175,0,0,75,3.005e-02,4.853e-02,-1.847e-02,1.812e-02,-1.082e-02,2.894e-02,742
175,0,0,100,1.303e-02,4.319e-02,-3.016e-02,8.681e-03,-9.786e-03,1.846e-02,762
175,0,0,125,-4.653e-03,3.830e-02,-4.297e-02,-2.320e-03,-7.822e-03,5.496e-03,782
175,0,0,150,-2.139e-02,3.445e-02,-5.586e-02,-1.422e-02,-4.439e-03,-9.783e-03,802
175,0,0,175,-3.714e-02,2.960e-02,-6.677e-02,-2.589e-02,3.090e-05,-2.593e-02,823
175,0,0,200,-5.003e-02,2.723e-02,-7.726e-02,-3.646e-02,4.846e-03,-4.131e-02,843
200,0,0,50,5.012e-02,5.704e-02,-6.912e-03,2.806e-02,-1.208e-02,4.014e-02,863
200,0,0,75,3.768e-02,5.268e-02,-1.499e-02,2.243e-02,-1.155e-02,3.397e-02,883
200,0,0,100,2.264e-02,4.795e-02,-2.532e-02,1.427e-02,-1.091e-02,2.518e-02,903
200,0,0,125,6.429e-03,4.327e-02,-3.685e-02,4.362e-03,-9.797e-03,1.415e-02,923
200,0,0,150,-9.957e-03,3.907e-02,-4.902e-02,-6.739e-03,-7.645e-03,9.020e-04,943
200,0,0,175,-2.533e-02,3.552e-02,-6.085e-02,-1.809e-02,-4.223e-03,-1.387e-02,963
200,0,0,200,-3.975e-02,3.132e-02,-7.109e-02,-2.919e-02,2.177e-04,-2.941e-02,983
188,0,0,149,-1.472e-02,3.667e-02,-5.142e-02,-9.862e-03,-6.379e-03,-3.489e-03,1003
168,0,0,61,3.588e-02,4.860e-02,-1.270e-02,2.107e-02,-1.103e-02,3.210e-02,1024
177,0,0,55,4.226e-02,5.182e-02,-9.534e-03,2.443e-02,-1.151e-02,3.594e-02,1044
138,0,0,186,-6.189e-02,1.947e-02,-8.137e-02,-4.165e-02,9.234e-03,-5.089e-02,1064
161,0,0,167,-4.021e-02,2.675e-02,-6.696e-02,-2.694e-02,1.204e-03,-2.815e-02,1084
83,0,0,177,-8.111e-02,6.158e-03,-8.730e-02,-5.005e-02,1.542e-02,-6.547e-02,1104
98,0,0,98,-2.862e-02,2.027e-02,-4.888e-02,-1.406e-02,-5.986e-04,-1.347e-02,1124
152,0,0,74,2.102e-02,4.179e-02,-2.080e-02,1.352e-02,-9.928e-03,2.344e-02,1144
52,0,0,71,-3.701e-02,1.028e-02,-4.728e-02,-1.660e-02,3.142e-03,-1.975e-02,1164
75,0,0,190,-8.818e-02,4.792e-03,-9.298e-02,-5.427e-02,1.701e-02,-7.127e-02,1184
190,0,0,66,3.933e-02,5.215e-02,-1.281e-02,2.254e-02,-1.149e-02,3.402e-02,1204
146,0,0,55,3.231e-02,4.455e-02,-1.225e-02,1.910e-02,-1.049e-02,2.959e-02,1225
98,0,0,68,-2.595e-03,2.680e-02,-2.941e-02,2.046e-03,-6.026e-03,8.069e-03,1245
79,0,0,64,-1.152e-02,2.088e-02,-3.241e-02,-2.423e-03,-3.812e-03,1.386e-03,1265
